Year,State, Population , Total Crime ,Violent Crime,Murder and Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Vehicle theft
2005,Alabama," 4,548,327 "," 197,071 ",19678,374,1564,6447,11293,177393,43473,120780,13140
2006,Alabama," 4,599,030 "," 200,802 ",19553,382,1646,7062,10463,181249,44780,121451,15018
2007,Alabama," 4,627,851 "," 204,857 ",20775,412,1548,7398,11417,184082,45379,124465,14238
2008,Alabama," 4,661,900 "," 211,526 ",21110,351,1618,7346,11795,190416,50411,126539,13466
2009,Alabama," 4,708,708 "," 199,201 ",21194,322,1504,6265,13103,178007,48844,118072,11091
2010,Alabama," 4,785,401 "," 187,191 ",18363,275,1355,4864,11869,168828,42484,115564,10780
2011,Alabama," 4,803,689 "," 193,358 ",20166,299,1370,4906,13591,173192,51119,111411,10662
2012,Alabama," 4,817,528 "," 190,571 ",21693,342,1296,5020,15035,168878,47481,111523,9874
2013,Alabama," 4,833,996 "," 182,669 ",20834,346,2055,4645,13788,161835,42410,108862,10563
2014,Alabama," 4,849,377 "," 174,821 ",20727,276,2005,4701,13745,154094,39715,104238,10141
2005,Arizona," 5,953,007 "," 317,823 ",30478,445,2006,8579,19448,287345,56328,176112,54905
2006,Arizona," 6,166,318 "," 327,845 ",33456,533,2449,9491,20983,294389,59418,178321,56650
2007,Arizona," 6,338,755 "," 320,143 ",32835,548,2353,9764,20170,287308,59988,177076,50244
2008,Arizona," 6,500,180 "," 298,220 ",31567,462,2200,9809,19096,266653,58606,169460,38587
2009,Arizona," 6,595,778 "," 264,849 ",28128,380,2279,8199,17270,236721,54308,155976,26437
2010,Arizona," 6,413,158 "," 253,330 ",26528,408,2191,6953,16976,226802,50932,154137,21733
2011,Arizona," 6,467,315 "," 256,685 ",26789,397,2499,7145,16748,229896,54695,155400,19801
2012,Arizona," 6,551,149 "," 259,778 ",28077,358,2282,7383,18054,231701,52911,159808,18982
2013,Arizona," 6,634,997 "," 250,870 ",27576,355,3174,6656,17391,223294,48292,158036,16966
2014,Arizona," 6,731,484 "," 242,156 ",26916,319,3378,6249,16970,215240,43562,154091,17587
2005,Arkansas," 2,775,708 "," 127,584 ",14670,189,1202,2532,10747,112914,30118,75510,7286
2006,Arkansas," 2,810,872 "," 127,563 ",15538,205,1325,2749,11259,112025,31864,72646,7515
2007,Arkansas," 2,834,797 "," 127,356 ",15226,198,1294,3105,10629,112130,32035,73096,6999
2008,Arkansas," 2,855,390 "," 125,009 ",14649,165,1463,2777,10244,110360,33912,69905,6543
2009,Arkansas," 2,889,450 "," 123,983 ",14905,179,1378,2576,10772,109078,34753,68228,6097
2010,Arkansas," 2,921,588 "," 118,531 ",14711,134,1321,2369,10887,103820,32463,65796,5561
2011,Arkansas," 2,938,582 "," 124,603 ",14173,160,1230,2357,10426,110430,34016,70645,5769
2012,Arkansas," 2,949,828 "," 123,240 ",13851,174,1233,2310,10134,109389,32673,70982,5734
2013,Arkansas," 2,958,765 "," 120,182 ",13705,158,1490,2261,9796,106477,30369,70430,5678
2014,Arkansas," 2,966,369 "," 113,261 ",14243,165,1763,2050,10265,99018,24790,68627,5601
2005,California," 36,154,147 "," 1,390,709 ",190178,2503,9392,63622,114661,1200531,250521,692467,257543
2006,California," 36,457,549 "," 1,354,471 ",194483,2486,9235,71142,111620,1159988,247230,669103,243655
2007,California," 36,553,215 "," 1,304,071 ",191561,2262,9046,70706,109547,1112510,237850,654526,220134
2008,California," 36,756,666 "," 1,266,325 ",185329,2142,8903,69388,104896,1080996,237811,650656,192529
2009,California," 36,961,664 "," 1,184,367 ",174934,1972,8713,64093,100156,1009433,230198,615402,163833
2010,California," 37,338,198 "," 1,146,072 ",164133,1809,8331,58116,95877,981939,228857,600558,152524
2011,California," 37,683,933 "," 1,128,765 ",154943,1792,7665,54291,91195,973822,230075,596905,146842
2012,California," 37,999,878 "," 1,210,409 ",160944,1884,7837,56521,94702,1049465,245767,635090,168608
2013,California," 38,431,393 "," 1,173,646 ",154739,1746,10324,53640,89029,1018907,232058,621557,165292
2014,California," 38,802,500 "," 1,100,901 ",153709,1699,11527,48680,91803,947192,202670,592670,151852
2005,Colorado," 4,663,295 "," 206,947 ",18498,173,2026,3948,12351,188449,34746,127602,26101
2006,Colorado," 4,753,377 "," 182,233 ",18794,171,2158,3824,12641,163439,32411,110372,20656
2007,Colorado," 4,861,515 "," 162,909 ",17101,155,2075,3461,11410,145808,28633,100519,16656
2008,Colorado," 4,939,456 "," 156,820 ",17480,165,2151,3404,11760,139340,28054,97937,13349
2009,Colorado," 5,024,748 "," 151,218 ",17022,159,2269,3371,11223,134196,26637,95079,12480
2010,Colorado," 5,047,692 "," 151,340 ",16339,129,2230,3164,10816,135001,26196,97534,11271
2011,Colorado," 5,116,302 "," 148,866 ",16085,155,2285,3299,10346,132781,25725,96054,11002
2012,Colorado," 5,189,458 "," 155,306 ",15951,152,2122,3392,10285,139355,26163,101091,12101
2013,Colorado," 5,272,086 "," 156,073 ",16099,174,2963,3136,9826,139974,25075,102375,12524
2014,Colorado," 5,355,866 "," 152,064 ",16554,151,3039,3039,10325,135510,23472,99464,12574
2005,Connecticut," 3,500,701 "," 99,812 ",9542,105,712,3933,4792,90270,15245,64416,10609
2006,Connecticut," 3,504,809 "," 101,143 ",10505,137,696,4460,5212,90638,15583,64765,10290
2007,Connecticut," 3,502,309 "," 97,075 ",10547,113,690,4303,5441,86528,15640,60937,9951
